id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28756962,Studio calme en plein cœur de Bordeaux,371750168,Rémy,Bordeaux,Centre ville (Bordeaux),44.83652,-0.57264,Entire home/apt,48,365,10,2021-08-29,0.26,1,61,1,
28757507,Chambre privée dans appartement sur Talence,18016577,Maria Pilar,Talence,Talence,44.8018,-0.58649,Private room,28,1,191,2021-11-29,4.89,1,155,79,
28766916,Appartement lumineux 60m2 proche gare,64395640,Myriam,Bordeaux,Bordeaux Sud,44.82623,-0.56108,Entire home/apt,40,2,7,2019-05-05,0.18,1,0,0,330630024846F
28769474,Charmant T2 à 2 pas du Parc Bordelais (Caudéran),8284215,Thomas,Bordeaux,Caudran,44.85494,-0.60981,Entire home/apt,55,365,3,2018-11-26,0.08,1,0,0,
28769809,Chambre proche chu,6694400,Valerie,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82445,-0.59802,Private room,26,15,7,2019-03-13,0.18,3,7,0,
28792568,Joli appartement près de la place de la Victoire,72484774,Tamara,Bordeaux,Bordeaux Sud,44.82767,-0.57431,Entire home/apt,60,2,34,2021-02-28,0.87,1,0,4,3306300250286
28795610,Apartment in the heart of Bordeaux.,34044283,Boris&Elise,Bordeaux,Bordeaux Sud,44.83323,-0.57205,Private room,42,2,60,2021-07-10,1.56,1,0,8,
28798356,❤ Quiet home near downtown Bordeaux ❤,217202502,Camille,Bgles,Bgles,44.8086,-0.57132,Entire home/apt,70,4,10,2019-09-13,0.26,1,0,0,
28805658,Appartement sur cour/jardin au Bouscat,14755716,Laurence,Le Bouscat,Le Bouscat,44.8558,-0.59539,Entire home/apt,125,2,22,2021-09-30,0.58,2,157,2,
28806080,Ravissant appartement au Jardin Public,14755716,Laurence,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85118,-0.58184,Entire home/apt,125,30,26,2021-08-19,0.67,2,318,4,3306300554002
28808176,Agréable studio indépendant Mérignac,78674351,Nathalie,Merignac,Centre ville (Merignac),44.84679,-0.66137,Entire home/apt,26,2,59,2021-10-23,1.54,1,0,18,
28825647,Immeuble avec plusieurs appartements à : Bordeaux,154226553,Ciham,Bruges,Bruges,44.8757,-0.58204,Entire home/apt,120,1,3,2019-07-17,0.08,1,341,0,
28836890,Belle maison familiale  rénovée Bordeaux Capucins,69044533,Valérie,Bordeaux,Nansouty - Saint Gens,44.82527,-0.56923,Entire home/apt,225,4,2,2019-12-28,0.06,4,0,0,3306300179176
28859973,"Chambre avec  salle de b privée, proche du centre.",103835785,Genevieve,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83475,-0.59934,Private room,35,2,118,2021-11-14,3.06,1,285,7,28859973
28865840,Chambre avec jardin à Pessac proche Tram,11534629,Élise,Pessac,Arago-La Chataigneraie,44.79264,-0.64291,Entire home/apt,70,3,1,2019-11-24,0.04,1,0,0,
28882522,"T2 Villenave-d'Ornon, à 15 min. de Bordeaux Centre",198778297,Marcio,Villenave-d'Ornon,Villenave-d'Ornon,44.78256,-0.53263,Entire home/apt,25,2,27,2021-12-05,0.69,1,0,11,
28888858,La Marquise - Pompadour,158536261,Albane,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85587,-0.57556,Entire home/apt,90,365,16,2020-12-30,0.50,7,0,3,
28889006,"LM Maintenon - Magnifique appartement tout confort, entièrement rénové, proche Pey Berland",158536261,Albane,Bordeaux,Bordeaux Sud,44.83457,-0.57475,Entire home/apt,110,365,19,2020-12-31,0.49,7,0,2,
28906216,Maison tout confort avec beau jardin,54724104,Blandine,Floirac,Floirac,44.84161,-0.52665,Entire home/apt,100,5,0,,,1,0,0,
28921827,"Bordeaux, Chambre privée lumineuse et calme",185467983,Delphine,Le Bouscat,Le Bouscat,44.86362,-0.59833,Private room,32,1,23,2021-12-01,1.02,1,181,10,
28929767,Villa Caudéran,43658568,Nadia,Bordeaux,Caudran,44.83966,-0.61616,Private room,80,1,0,,,1,0,0,
28936079,Appartement mezzanine Plein Sud bien situé Pessac,151494565,Gary,Pessac,Chiquet-Fontaudin,44.80573,-0.6225,Entire home/apt,21,30,1,2018-10-06,0.03,1,0,0,
