id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31628378,Fleurieu - Appart'Ambiance,683086,Karine,,2e Arrondissement,45.75313,4.83219,Entire home/apt,197,3,2,2019-07-04,0.06,45,194,0,6938212438219
31628381,Jarente - Appart'Ambiance,683086,Karine,,2e Arrondissement,45.75466,4.82714,Entire home/apt,213,3,5,2021-05-25,0.23,45,76,2,6938212385759
31628383,Quiet 1 bdr nice view Herbouville-Appart'Ambiance,683086,Karine,,4e Arrondissement,45.77613,4.83984,Entire home/apt,188,3,2,2019-11-15,0.07,45,347,0,6938412418862
31628387,Cosy Premium Studio Opera Lyonnais-Appart'Ambiance,683086,Karine,,1er Arrondissement,45.76699,4.83622,Entire home/apt,189,3,3,2021-07-27,0.10,45,328,1,6938112405978
31628389,1 Bdr ready to live Lyon 6 Ney - Appart'Ambiance,683086,Karine,,6e Arrondissement,45.76682,4.85554,Entire home/apt,191,3,2,2021-04-16,0.06,45,329,1,6938612408910
31628395,Pasteur - Appart'Ambiance,683086,Karine,,7e Arrondissement,45.75346,4.83987,Entire home/apt,175,3,2,2021-11-14,0.08,45,347,1,6938712396411
31628400,1-bdr 3 beddings working areas Lyon 6 Récamier-A'A,683086,Karine,,6e Arrondissement,45.76741,4.85436,Entire home/apt,194,3,2,2020-08-16,0.12,45,225,0,6938612413957
31628403,Sala - Appart'Ambiance,683086,Karine,,2e Arrondissement,45.75534,4.82985,Entire home/apt,166,3,1,2019-12-29,0.04,45,345,0,6938212404268
31628405,Grand T1 avec Terrasse - Appart'Ambiance,683086,Karine,,6e Arrondissement,45.77006,4.86184,Entire home/apt,181,3,3,2021-08-31,0.11,45,164,1,6938612437614
31628414,1-Bdr balcony working space- Appart'Ambiance,683086,Karine,,6e Arrondissement,45.76524,4.86436,Entire home/apt,191,3,0,,,45,295,0,6938612375652
31628418,Franklin - Appart'Ambiance,683086,Karine,,6e Arrondissement,45.7694,4.84954,Entire home/apt,218,3,3,2021-11-05,0.11,45,319,1,6938612374068
31628429,Ste Clotilde - Appart'Ambiance,683086,Karine,,1er Arrondissement,45.77325,4.82861,Entire home/apt,194,3,2,2021-09-26,0.75,45,172,2,6938112400436
31628432,Mazenod - Appart'Ambiance,683086,Karine,,3e Arrondissement,45.75938,4.84638,Entire home/apt,191,3,1,2021-08-13,0.25,45,198,1,6938312372567
31628435,Montcharmont - Appart'Ambiance,683086,Karine,,2e Arrondissement,45.75991,4.83247,Entire home/apt,182,3,1,2019-10-31,0.04,45,203,0,6938212374673
31628438,Odeon - Appart'Ambiance,683086,Karine,,2e Arrondissement,45.76263,4.836,Entire home/apt,263,3,1,2021-11-22,1,45,356,1,6938212454550
31628443,Studio 33 m2 Lyon 2 Centre calme - Appart'Ambiance,683086,Karine,,2e Arrondissement,45.76035,4.83646,Entire home/apt,150,3,2,2021-08-24,0.18,45,334,2,6938212385660
31628453,Zola - Appart'Ambiance,683086,Karine,,2e Arrondissement,45.75995,4.83275,Entire home/apt,250,3,4,2021-10-23,0.15,45,251,2,6938212393281
31629236,T2 tout confort Maréchal Tête d'Or-Appart'Ambiance,683086,Karine,,6e Arrondissement,45.77142,4.84665,Entire home/apt,199,3,1,2020-11-30,0.08,45,345,0,6938612372781
31629237,Dauphiné - Appart'Ambiance,683086,Karine,,3e Arrondissement,45.75243,4.86621,Entire home/apt,186,3,0,,,45,254,0,6938312464124
31629238,Servient Cosy 1-Bdr 45 m2 - Appart'Ambiance,683086,Karine,,3e Arrondissement,45.76014,4.85055,Entire home/apt,181,3,5,2021-03-29,0.21,45,255,4,6938312391670
31629243,Charlemagne - Appart'Ambiance,683086,Karine,,2e Arrondissement,45.74171,4.82061,Entire home/apt,151,3,1,2019-10-31,0.04,45,0,0,6938212465438
31629246,Préférence - Appart'Ambiance,683086,Karine,,3e Arrondissement,45.75942,4.84329,Entire home/apt,209,3,0,,,45,165,0,6938312593390
31629251,CosyT2 Bellecour Gailleton - Appart'Ambiance,683086,Karine,,2e Arrondissement,45.7532,4.83228,Entire home/apt,183,3,2,2021-03-01,0.20,45,259,2,6938212571643
31629253,Typical flat TV videoscreen Nancy-Appart'Ambiance,683086,Karine,,1er Arrondissement,45.76904,4.82919,Entire home/apt,193,3,0,,,45,0,0,6938112560980
